GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
2022sp-420-AlarmSquad,uml,Parameter,0,5,0,0,0,2,0,1,0,1
2022sp-420-AlarmSquad,uml,CLIView,233,0,8,0,34,0,8,0,4,0
2022sp-420-AlarmSquad,uml,UMLClass,0,226,1,31,0,58,1,32,0,17
2022sp-420-AlarmSquad,uml,GUIView,5697,0,102,0,1148,0,173,0,119,0
2022sp-420-AlarmSquad,uml,UMLModel,0,472,0,58,0,105,0,56,0,27
2022sp-420-AlarmSquad,uml,ClassBox,409,0,34,0,97,0,41,0,24,0
2022sp-420-AlarmSquad,uml,CLIController,2477,0,271,0,544,0,177,0,28,0
2022sp-420-AlarmSquad,uml,JSON,739,0,38,0,161,0,29,0,10,0
2022sp-420-AlarmSquad,uml,Relationship,0,25,0,0,0,9,0,5,0,5
2022sp-420-AlarmSquad,uml,Attribute,0,13,0,0,0,6,0,3,0,3
2022sp-420-AlarmSquad,uml,Memento,12,0,0,0,4,0,2,0,2,0
2022sp-420-AlarmSquad,uml,Caretaker,50,0,0,0,13,0,6,0,6,0
2022sp-420-AlarmSquad,uml,Field,0,14,0,0,0,6,0,3,0,3
2022sp-420-AlarmSquad,uml,Driver,50,0,6,0,13,0,5,0,2,0
2022sp-420-AlarmSquad,uml,DynamicCompleter,14,0,0,0,5,0,3,0,3,0
2022sp-420-AlarmSquad,uml,GUIController,2117,0,222,0,388,0,138,0,27,0
2022sp-420-AlarmSquad,uml,RelLine,109,0,0,0,25,0,5,0,5,0
2022sp-420-AlarmSquad,uml,Method,0,79,0,8,0,20,0,11,0,7
